pollster,poll_date,candidate,percent,sample_size
PollsterA,2026-09-01,Mira,34,500
PollsterA,2026-09-01,Doran,40,500
PollsterA,2026-09-01,Yusuf,26,500
PollsterB,2026-09-01,Mira,32,650
PollsterB,2026-09-01,Doran,42,650
PollsterB,2026-09-01,Yusuf,26,650
PollsterC,2026-09-01,Mira,35,400
PollsterC,2026-09-01,Doran,39,400
PollsterC,2026-09-01,Yusuf,26,400
PollsterA,2026-09-08,Mira,37,520
PollsterA,2026-09-08,Doran,37,520
PollsterA,2026-09-08,Yusuf,26,520
PollsterB,2026-09-08,Mira,36,610
PollsterB,2026-09-08,Doran,38,610
PollsterB,2026-09-08,Yusuf,26,610
PollsterC,2026-09-08,Mira,38,450
PollsterC,2026-09-08,Doran,36,450
PollsterC,2026-09-08,Yusuf,26,450
PollsterA,2026-09-15,Mira,41,530
PollsterA,2026-09-15,Doran,33,530
PollsterA,2026-09-15,Yusuf,26,530
PollsterB,2026-09-15,Mira,40,700
PollsterB,2026-09-15,Doran,34,700
PollsterB,2026-09-15,Yusuf,26,700
PollsterC,2026-09-15,Mira,42,480
PollsterC,2026-09-15,Doran,32,480
PollsterC,2026-09-15,Yusuf,26,480
PollsterA,2026-09-22,Mira,45,540
PollsterA,2026-09-22,Doran,29,540
PollsterA,2026-09-22,Yusuf,26,540
PollsterB,2026-09-22,Mira,44,690
PollsterB,2026-09-22,Doran,30,690
PollsterB,2026-09-22,Yusuf,26,690
PollsterC,2026-09-22,Mira,46,500
PollsterC,2026-09-22,Doran,28,500
PollsterC,2026-09-22,Yusuf,26,500
