team,abbreviation,wins,losses,points_for,points_against
Arizona Cardinals,ARI,3,14,355,488
Atlanta Falcons,ATL,8,9,353,401
Baltimore Ravens,BAL,8,9,424,398
Buffalo Bills,BUF,12,5,481,365
Carolina Panthers,CAR,8,9,311,380
Chicago Bears,CHI,11,6,441,415
Cincinnati Bengals,CIN,6,11,414,492
Cleveland Browns,CLE,5,12,279,379
Dallas Cowboys,DAL,7,9,471,511
Denver Broncos,DEN,14,3,401,311
Detroit Lions,DET,9,8,481,413
Green Bay Packers,GB,9,7,391,360
Houston Texans,HOU,12,5,404,295
Indianapolis Colts,IND,8,9,466,412
Jacksonville Jaguars,JAX,13,4,474,336
Kansas City Chiefs,KC,6,11,362,328
Las Vegas Raiders,LV,3,14,241,432
Los Angeles Chargers,LAC,11,6,368,340
Los Angeles Rams,LAR,12,5,518,346
Miami Dolphins,MIA,7,10,347,424
Minnesota Vikings,MIN,9,8,344,333
New England Patriots,NE,14,3,490,320
New Orleans Saints,NO,6,11,306,383
New York Giants,NYG,4,13,381,439
New York Jets,NYJ,3,14,300,503
Philadelphia Eagles,PHI,11,6,379,325
Pittsburgh Steelers,PIT,10,7,397,387
San Francisco 49ers,SF,12,5,437,371
Seattle Seahawks,SEA,14,3,483,292
Tampa Bay Buccaneers,TB,8,9,380,411
Tennessee Titans,TEN,3,14,284,478
Washington Commanders,WSH,5,12,356,451
